City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Victoria,HK,22.2855,114.1577,63.32,85,100,20.0,overcast clouds
1,Cairns,AU,-16.9167,145.7667,83.1,78,40,3.44,scattered clouds
2,Bijar,IR,35.8668,47.6051,27.91,94,82,2.48,broken clouds
3,Satipo,PE,-11.2522,-74.6386,73.31,89,100,0.76,moderate rain
4,Butaritari,KI,3.0707,172.7902,81.72,79,29,17.45,scattered clouds
5,Rikitea,PF,-23.1203,-134.9692,79.47,71,58,17.63,broken clouds
6,Yongzhou,CN,26.4559,111.5988,40.39,95,100,3.31,overcast clouds
7,Pangnirtung,CA,66.1451,-65.7125,1.4,66,100,18.41,light snow
8,Itoman,JP,26.1247,127.6694,60.82,72,75,5.75,broken clouds
9,Deputatskiy,RU,69.3,139.9,-19.46,94,98,5.39,overcast clouds
10,Sitka,US,57.0531,-135.33,35.38,63,100,3.91,overcast clouds
11,Avarua,CK,-21.2078,-159.775,86.05,66,99,8.05,overcast clouds
12,Porto Novo,BJ,6.4965,2.6036,84.02,86,1,6.93,clear sky
13,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,88,100,3.44,overcast clouds
14,Cape Town,ZA,-33.9258,18.4232,65.26,66,0,4.61,clear sky
15,Chokurdakh,RU,70.6333,147.9167,-28.53,92,40,8.63,scattered clouds
16,Ancud,CL,-41.8697,-73.8203,60.33,55,15,8.99,few clouds
17,Huarmey,PE,-10.0681,-78.1522,72.99,75,93,8.5,overcast clouds
18,Formosa Do Rio Preto,BR,-11.0483,-45.1931,75.49,72,92,3.11,overcast clouds
19,Namanga,KE,-2.5433,36.7905,69.58,56,92,4.21,overcast clouds
20,Zatoka,UA,46.0725,30.4654,39.74,81,13,15.12,few clouds
21,Luderitz,NA,-26.6481,15.1594,72.05,56,18,15.77,few clouds
22,Bengkulu,ID,-3.8004,102.2655,74.12,78,90,4.23,overcast clouds
23,Okhotsk,RU,59.3833,143.3,3.97,85,100,4.99,overcast clouds
24,Barrow,US,71.2906,-156.7887,-21.98,69,100,8.05,haze
25,Hermanus,ZA,-34.4187,19.2345,62.91,77,0,2.48,clear sky
26,Clyde River,CA,70.4692,-68.5914,-19.97,76,100,6.91,light snow
27,San Carlos De Bariloche,AR,-41.1456,-71.3082,64.15,22,0,19.57,clear sky
28,Thompson,CA,55.7435,-97.8558,-9.24,70,100,19.57,overcast clouds
29,Lavrentiya,RU,65.5833,-171.0,-25.08,97,63,2.19,broken clouds
30,Torbay,CA,47.6666,-52.7314,34.27,91,0,8.05,clear sky
31,Omboue,GA,-1.5746,9.2618,77.61,86,95,3.89,light rain
32,Hailar,CN,49.2,119.7,-0.69,98,100,7.52,overcast clouds
33,Khatanga,RU,71.9667,102.5,-5.44,97,73,13.47,broken clouds
34,Marawi,PH,7.9986,124.2928,66.65,95,100,1.05,overcast clouds
35,Myrtle Beach,US,33.6891,-78.8867,63.05,65,13,6.29,few clouds
36,Reconquista,AR,-29.15,-59.65,86.58,19,0,7.45,clear sky
37,Busselton,AU,-33.65,115.3333,69.22,53,0,2.98,clear sky
38,Punta Arenas,CL,-53.15,-70.9167,50.11,57,40,29.93,scattered clouds
39,Georgetown,MY,5.4112,100.3354,77.95,93,20,2.3,moderate rain
40,Ambilobe,MG,-13.2,49.05,73.56,99,100,3.83,moderate rain
41,Gamba,GA,-2.65,10.0,77.0,88,99,4.99,light rain
42,Meulaboh,ID,4.1363,96.1285,75.04,85,100,4.07,overcast clouds
43,Ponta Do Sol,PT,32.6667,-17.1,67.71,56,100,5.35,overcast clouds
44,Albany,US,42.6001,-73.9662,39.15,78,47,6.08,scattered clouds
45,Carnarvon,AU,-24.8667,113.6333,73.47,83,83,3.44,broken clouds
46,Cabo San Lucas,MX,22.8909,-109.9124,77.5,48,9,6.67,clear sky
47,New Norfolk,AU,-42.7826,147.0587,66.65,42,56,3.0,broken clouds
48,Panguna,PG,-6.3164,155.4848,77.11,79,87,2.1,moderate rain
49,Ndola,ZM,-12.9587,28.6366,61.92,98,100,2.93,light rain
50,Mataura,NZ,-46.1927,168.8643,61.48,77,100,3.85,overcast clouds
51,Shasta Lake,US,40.6804,-122.3708,82.81,23,0,3.0,clear sky
52,Krasnoselkup,RU,65.7,82.4667,-10.25,87,13,9.71,few clouds
53,Bluff,NZ,-46.6,168.3333,61.81,79,66,10.38,broken clouds
54,Cabedelo,BR,-6.9811,-34.8339,81.27,72,11,12.19,few clouds
55,Dikson,RU,73.5069,80.5464,8.31,91,100,26.73,overcast clouds
56,Puerto Ayora,EC,-0.7393,-90.3518,80.56,88,96,5.01,overcast clouds
57,Bredasdorp,ZA,-34.5322,20.0403,56.52,82,0,2.3,clear sky
58,Airai,TL,-8.9266,125.4092,63.5,90,100,1.45,overcast clouds
59,Ushuaia,AR,-54.8,-68.3,46.06,81,75,24.16,light intensity drizzle
60,Coahuayana,MX,18.7333,-103.6833,82.47,35,0,6.46,clear sky
61,Maceio,BR,-9.6658,-35.7353,80.04,78,0,10.36,clear sky
62,Geraldton,AU,-28.7667,114.6,70.21,78,31,5.75,scattered clouds
63,Ohara,JP,35.25,140.3833,39.0,81,100,20.29,overcast clouds
64,Kalmunai,LK,7.4167,81.8167,75.38,85,99,4.36,light rain
65,Chuy,UY,-33.6971,-53.4616,70.56,74,4,12.33,clear sky
66,Atuona,PF,-9.8,-139.0333,78.66,74,4,16.04,clear sky
67,Antofagasta,CL,-23.65,-70.4,70.88,77,6,4.92,clear sky
68,Kavaratti,IN,10.5669,72.642,79.05,75,52,11.59,broken clouds
69,Chalmette,US,29.9427,-89.9634,66.2,36,0,5.75,clear sky
70,Sola,VU,-13.8833,167.55,81.86,78,100,20.45,overcast clouds
71,Kapaa,US,22.0752,-159.319,80.11,66,5,3.0,clear sky
72,Gat,IL,31.61,34.7642,52.39,100,71,6.76,broken clouds
73,Saint-Philippe,RE,-21.3585,55.7679,72.99,80,19,6.06,few clouds
74,Yellowknife,CA,62.456,-114.3525,-10.44,88,75,9.22,broken clouds
75,Ossora,RU,59.2353,163.0719,-8.52,73,58,3.91,broken clouds
76,Kutahya,TR,39.4242,29.9833,25.21,90,6,2.62,clear sky
77,Norman Wells,CA,65.282,-126.8329,-9.36,70,75,12.66,broken clouds
78,Mount Darwin,ZW,-16.7725,31.5838,66.92,91,100,1.12,light rain
79,Solnechnyy,RU,50.7214,136.6319,-1.3,97,86,3.62,overcast clouds
80,Yar-Sale,RU,66.8333,70.8333,7.72,89,97,18.97,overcast clouds
81,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,70,100,21.85,light snow
82,Vardo,NO,70.3705,31.1107,23.2,86,76,16.58,broken clouds
83,Isla Vista,US,34.4133,-119.861,89.67,21,0,10.36,clear sky
84,San Cristobal,VE,7.7669,-72.225,77.18,83,87,1.45,overcast clouds
85,Heihe,CN,50.2441,127.4902,-12.42,98,100,4.38,overcast clouds
86,Hobart,AU,-42.8794,147.3294,67.01,49,40,6.91,scattered clouds
87,Kirove,UA,47.6531,35.6951,40.03,95,100,7.09,overcast clouds
88,Forquilhinha,BR,-28.7475,-49.4722,74.62,96,33,4.54,scattered clouds
89,Chapais,CA,49.7834,-74.8492,11.98,91,100,10.58,overcast clouds
90,Eyl,SO,7.9803,49.8164,70.75,67,2,14.25,clear sky
91,Honiara,SB,-9.4333,159.95,82.9,78,57,6.71,moderate rain
92,Hobyo,SO,5.3505,48.5268,75.09,66,49,19.82,scattered clouds
93,Port Alfred,ZA,-33.5906,26.891,69.76,81,89,7.05,overcast clouds
94,Nalut,LY,30.3333,10.85,46.87,61,2,12.44,clear sky
95,Esperance,AU,-33.8667,121.9,75.04,41,39,17.29,scattered clouds
96,Cherskiy,RU,68.75,161.3,-34.15,98,100,6.62,overcast clouds
97,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.99,93,100,5.75,overcast clouds
98,Sao Joao Dos Patos,BR,-6.495,-43.7022,72.12,92,93,4.09,overcast clouds
99,Fairbanks,US,64.8378,-147.7164,-0.78,76,100,2.84,overcast clouds
100,Te Anau,NZ,-45.4167,167.7167,70.43,56,14,2.13,few clouds
101,Bergama,TR,39.1207,27.1805,40.93,79,0,5.57,clear sky
102,Eldorado,BR,-23.7869,-54.2836,81.09,56,5,10.04,clear sky
103,Qaanaaq,GL,77.484,-69.3632,-19.53,57,43,5.73,scattered clouds
104,Jalu,LY,29.0331,21.5482,51.84,51,5,8.77,clear sky
105,East London,ZA,-33.0153,27.9116,69.96,82,18,4.54,few clouds
106,Pevek,RU,69.7008,170.3133,-30.24,97,100,8.93,overcast clouds
107,Camabatela,AO,-8.1881,15.375,61.12,95,87,1.95,overcast clouds
108,Kirkuk,IQ,35.4681,44.3922,48.69,70,37,4.72,scattered clouds
109,Hithadhoo,MV,-0.6,73.0833,81.01,72,100,6.96,overcast clouds
110,Dingle,PH,10.9995,122.6711,76.39,83,98,9.57,overcast clouds
111,Mar Del Plata,AR,-38.0023,-57.5575,75.22,89,0,27.0,clear sky
112,Mahebourg,MU,-20.4081,57.7,75.49,94,40,3.44,scattered clouds
113,Hirara,JP,24.8,125.2833,62.87,77,20,14.97,few clouds
114,Hualmay,PE,-11.0964,-77.6139,72.46,74,79,7.76,broken clouds
115,Punta Cardon,VE,11.6581,-70.215,78.08,75,87,25.57,overcast clouds
116,Belmonte,BR,-15.8631,-38.8828,81.1,84,4,6.85,clear sky
117,Kyra,RU,49.5776,111.9753,-4.74,88,100,5.28,overcast clouds
118,Lorengau,PG,-2.0226,147.2712,81.82,81,100,6.04,overcast clouds
119,Colares,PT,38.7992,-9.4469,59.99,67,99,15.01,overcast clouds
120,Sistranda,NO,63.7256,8.834,32.9,56,100,26.93,overcast clouds
121,Grand Gaube,MU,-20.0064,57.6608,75.6,79,0,5.7,clear sky
122,Yuzhno-Kurilsk,RU,44.0306,145.8556,21.65,83,90,4.94,overcast clouds
123,Flagstaff,US,35.1981,-111.6513,60.67,24,0,1.99,clear sky
124,Kirakira,SB,-10.4544,161.9205,82.31,79,69,6.98,broken clouds
125,Waipawa,NZ,-41.4122,175.5153,70.45,74,100,6.06,light rain
126,Kano,NG,12.0001,8.5167,64.29,42,51,2.3,broken clouds
127,Kodiak,US,57.79,-152.4072,33.22,76,100,15.41,overcast clouds
128,San Patricio,US,28.017,-97.5169,72.54,37,100,6.24,overcast clouds
129,Vaini,TO,-21.2,-175.2,81.57,80,57,21.23,light rain
130,Lagoa,PT,39.05,-27.9833,58.68,74,96,8.72,overcast clouds
131,Douglas,US,41.3,-96.167,54.14,44,40,19.57,scattered clouds
132,Harrisonburg,US,38.4496,-78.8689,52.18,37,0,4.61,clear sky
133,Pakokku,MM,21.3333,95.1,63.39,45,6,4.59,clear sky
134,Dobsice,CZ,48.8483,16.0822,47.75,68,71,9.93,broken clouds
135,Saint George,US,37.1041,-113.5841,69.44,25,0,3.0,clear sky
136,Changde,CN,29.0464,111.6783,38.93,97,100,3.31,overcast clouds
137,Zhigansk,RU,66.7697,123.3711,-27.67,98,99,11.59,overcast clouds
138,Lebu,CL,-37.6167,-73.65,58.64,71,37,26.46,scattered clouds
139,Castro,BR,-24.7911,-50.0119,65.75,76,19,10.65,few clouds
140,Jamestown,US,42.097,-79.2353,33.3,54,96,8.99,overcast clouds
141,Maniitsoq,GL,65.4167,-52.9,17.47,88,100,11.52,overcast clouds
142,Waingapu,ID,-9.6567,120.2641,77.41,85,100,3.96,overcast clouds
143,Dunedin,NZ,-45.8742,170.5036,67.8,74,39,4.0,scattered clouds
144,Guozhen,CN,34.3659,107.359,35.89,72,94,2.3,light rain
145,Tasiilaq,GL,65.6145,-37.6368,8.19,57,54,7.02,broken clouds
146,Necochea,AR,-38.5473,-58.7368,71.04,58,48,5.39,light rain
147,Antalaha,MG,-14.9003,50.2788,73.98,92,17,3.98,few clouds
148,Blagoveshchensk,RU,50.2667,127.5333,-12.39,84,40,2.24,scattered clouds
149,Gashua,NG,12.871,11.0482,65.41,14,10,10.02,clear sky
150,Lompoc,US,34.6391,-120.4579,85.89,19,0,9.22,clear sky
151,Boyolangu,ID,-8.1181,111.8935,74.62,88,100,2.21,overcast clouds
152,Pouebo,NC,-20.4,164.5667,80.37,86,100,15.66,overcast clouds
153,Los Llanos De Aridane,ES,28.6585,-17.9182,69.12,32,0,10.0,clear sky
154,Kieta,PG,-6.2167,155.6333,83.34,75,86,5.21,light rain
