City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Victoria,HK,63.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
3,Satipo,PE,73.31,moderate rain,-11.2522,-74.6386,Bungalows El Palmiche
5,Rikitea,PF,79.47,broken clouds,-23.1203,-134.9692,People ThankYou
6,Yongzhou,CN,40.39,overcast clouds,26.4559,111.5988,Jialong Hotel
8,Itoman,JP,60.82,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
13,Arraial Do Cabo,BR,71.46,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
14,Cape Town,ZA,65.26,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
16,Ancud,CL,60.33,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
17,Huarmey,PE,72.99,overcast clouds,-10.0681,-78.1522,Hotel Miramar
18,Formosa Do Rio Preto,BR,75.49,overcast clouds,-11.0483,-45.1931,Porto Center Hotel
19,Namanga,KE,69.58,overcast clouds,-2.5433,36.7905,Hillsgate Home
22,Bengkulu,ID,74.12,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
25,Hermanus,ZA,62.91,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
27,San Carlos De Bariloche,AR,64.15,clear sky,-41.1456,-71.3082,Hotel Patagonia
31,Omboue,GA,77.61,light rain,-1.5746,9.2618,Hotel Olako
34,Marawi,PH,66.65,overcast clouds,7.9986,124.2928,Derogongan Residence
35,Myrtle Beach,US,63.05,few clouds,33.6891,-78.8867,Bay View Resort Myrtle Beach
37,Busselton,AU,69.22,clear sky,-33.65,115.3333,Observatory Guest House
38,Punta Arenas,CL,50.11,scattered clouds,-53.15,-70.9167,Hotel Hain
39,Georgetown,MY,77.95,moderate rain,5.4112,100.3354,Cititel Penang
40,Ambilobe,MG,73.56,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
42,Meulaboh,ID,75.04,overcast clouds,4.1363,96.1285,Kost Pria
43,Ponta Do Sol,PT,67.71,overcast clouds,32.6667,-17.1,Hotel do Campo
45,Carnarvon,AU,73.47,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
46,Cabo San Lucas,MX,77.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
47,New Norfolk,AU,66.65,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
49,Ndola,ZM,61.92,light rain,-12.9587,28.6366,Chabanga Lodge iSpot
50,Mataura,NZ,61.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
53,Bluff,NZ,61.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
57,Bredasdorp,ZA,56.52,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
59,Ushuaia,AR,46.06,light intensity drizzle,-54.8,-68.3,Albatross Hotel
62,Geraldton,AU,70.21,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
64,Kalmunai,LK,75.38,light rain,7.4167,81.8167,VS Villa
65,Chuy,UY,70.56,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
66,Atuona,PF,78.66,clear sky,-9.8,-139.0333,Villa Enata
67,Antofagasta,CL,70.88,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
68,Kavaratti,IN,79.05,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
69,Chalmette,US,66.2,clear sky,29.9427,-89.9634,Marina Inn & Suites Chalmette-New Orleans
72,Gat,IL,52.39,broken clouds,31.61,34.7642,OlusHome
73,Saint-Philippe,RE,72.99,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
84,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
86,Hobart,AU,67.01,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
88,Forquilhinha,BR,74.62,scattered clouds,-28.7475,-49.4722,Oma Zita Hotel
90,Eyl,SO,70.75,clear sky,7.9803,49.8164,Amiin Hotel
92,Hobyo,SO,75.09,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
93,Port Alfred,ZA,69.76,overcast clouds,-33.5906,26.891,The Halyards Hotel
95,Esperance,AU,75.04,scattered clouds,-33.8667,121.9,Hospitality Esperance
98,Sao Joao Dos Patos,BR,72.12,overcast clouds,-6.495,-43.7022,Montesino Hotel & Restaurante
100,Te Anau,NZ,70.43,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
101,Bergama,TR,40.93,clear sky,39.1207,27.1805,Anil Hotel
104,Jalu,LY,51.84,clear sky,29.0331,21.5482,صاحبة الفخامة
105,East London,ZA,69.96,few clouds,-33.0153,27.9116,Tu Casa
